name,   price   ,genericname,category,   costprice   ,unit,   minstock   ,requiresprescription
GENTRISONE CREAM TUBE,"3,150.00",GENTRISONE CREAM TUBE,,"2,950.00",,87,
GLIBENCLAMIDE TAB PACKET,"2,500.00",GLIBENCLAMIDE TAB PACKET,,"2,004.00",,19,
GLOVES EXAMINATION,"7,700.00",GLOVES EXAMINATION,,"6,329.93",,96,
GLOVES SURGICAL 1PAIR,500,GLOVES SURGICAL 1PAIR,,300,,35,
GLUCOPLUS MACHINE NO STRIPS,"40,000.00",GLUCOPLUS MACHINE NO STRIPS,,"33,000.00",,1,
GLUCOPLUS STRIPS 25'S,"22,500.00",GLUCOPLUS STRIPS 25'S,,"15,856.91",,4,
GLUCOSE 50G,390,GLUCOSE 50G,,305.56,,472,
GLUCOSE 80G,450,GLUCOSE 80G,,389.98,,363,
GOFEN 200MG(IBUPROFEN),"16,000.00",GOFEN 200MG(IBUPROFEN),,"12,750.00",,   -     ,
GOFEN 400MG(IBUPROFEN),"33,000.00",GOFEN 400MG(IBUPROFEN),,"31,495.34",,"1,503.00",
GOODMORNING LOZENGE PACKET,"7,600.00",GOODMORNING LOZENGE PACKET,,"7,200.00",,   -     ,
GOODMORNING SYRUP BOTTLE,"1,900.00",GOODMORNING SYRUP BOTTLE,,"1,655.45",,361,
GRIPE WATER BABY 100ML BOTTLE,"1,100.00",GRIPE WATER BABY 100ML BOTTLE,,853.15,,"7,680.00",
GRIPEWATER WWODWARD'S,"2,150.00",GRIPEWATER WWODWARD'S,,"1,950.00",,330,
GRISEOFLUVIN TAB 500MG PKT,"19,800.00",GRISEOFLUVIN TAB 500MG PKT,,"15,372.42",,130.6,
GYNAZOLE CREAM TUBE,"5,600.00",GYNAZOLE CREAM TUBE,,"4,800.00",,   -     ,
GYNAZOLE PESSARY 3s PACKET,"5,600.00",GYNAZOLE PESSARY 3s PACKET,,"5,300.00",,297,
HALOPERIDOL TAB,"7,400.00",HALOPERIDOL TAB,,"6,825.00",,   -     ,
HEDAPAN TABS,"4,500.00",HEDAPAN TABS,,   -     ,,   -     ,
HEDEX TABS PACKET,"8,900.00",HEDEX TABS PACKET,,"7,534.95",,49,
HEDON TABS PACKET,"4,100.00",HEDON TABS PACKET,,"3,816.88",,83,
HEKOTOS COUGH LOZENGES,"8,000.00",HEKOTOS COUGH LOZENGES,,"7,021.43",,   -     ,
HELIGO KIT TABS 42s PACKET,"28,500.00",HELIGO KIT TABS 42s PACKET,,"20,000.00",,147,
HEMOVIT CAPS 30'S,"4,500.00",HEMOVIT CAPS 30'S,,"2,333.33",,2,
HEMOVIT SYRUP 200ML BOTTLE,"4,500.00",HEMOVIT SYRUP 200ML BOTTLE,,"3,650.00",,10,
HIV KIT,"14,000.00",HIV KIT,,"12,644.23",,   -     ,
HOMADEX TABS ACKET,"8,800.00",HOMADEX TABS ACKET,,"6,500.00",,277,
HQ PAD 290MM,"3,500.00",HQ PAD 290MM,,"3,291.67",,   -     ,
HQ PAD 338MM,"3,500.00",HQ PAD 338MM,,"3,250.00",,   -     ,
HYDRALAZINE TAB,"15,800.00",HYDRALAZINE TAB,,"13,620.45",,   -     ,
HYDROCORTISINE EYE DROPS,"2,250.00",HYDROCORTISINE EYE DROPS,,"1,925.00",,   -     ,
HYDROCORTISINE INJ 100MG,"1,250.00",HYDROCORTISINE INJ 100MG,,800,,"1,305.00",
HYDROGEN PEROXIDE 3% BOTTLE,650,HYDROGEN PEROXIDE 3% BOTTLE,,350.24,,848,
HYDROGEN PEROXIDE 6%,600,HYDROGEN PEROXIDE 6%,,350.1,,339,
HYDROGEN PEROXIDE EAR DROP BTL,"1,250.00",HYDROGEN PEROXIDE EAR DROP BTL,,750,,156,
HYDROXUREA 500MG,"40,500.00",HYDROXUREA 500MG,,"37,000.00",,20,
HYOSCINE  TAB,"12,000.00",HYOSCINE  TAB,,"6,247.30",,41,
I.V PARACETAMOL,"2,100.00",I.V PARACETAMOL,,"1,755.90",,351,
IBUPROFEN SYRUP BOTTLE,"1,650.00",IBUPROFEN SYRUP BOTTLE,,"1,447.52",,   -     ,
IBUPROFEN TABS PKT,"2,450.00",IBUPROFEN TABS PKT,,"1,800.00",,120,
ILET B2,"9,950.00",ILET B2,,"5,627.71",,   -     ,
IMIQUAD CREAM,"14,800.00",IMIQUAD CREAM,,"13,800.00",,   -     ,
INDOMETHACIN CAPS  PACKET,"4,500.00",INDOMETHACIN CAPS  PACKET,,"3,098.04",,74,
INFLAZONE GEL TUBE,"2,350.00",INFLAZONE GEL TUBE,,"2,039.55",,1,
INSULIN LENTE,"11,800.00",INSULIN LENTE,,"9,000.00",,   -     ,
INSULIN MIXTARD,"11,500.00",INSULIN MIXTARD,,"8,500.00",,   -     ,
INSULIN SOLUBLE,"11,800.00",INSULIN SOLUBLE,,"7,750.30",,168,
IODINE TOPICAL BOTTLE,"1,250.00",IODINE TOPICAL BOTTLE,,905.37,,434,
ISOSORBIDE DINITRATE TAB,"7,500.00",ISOSORBIDE DINITRATE TAB,,"6,850.00",,   -     ,
ISOSORBIDE MONONITRATE TAB,"24,500.00",ISOSORBIDE MONONITRATE TAB,,"22,000.00",,   -     ,
ITRACONAZOLE 4'S CAPS,"2,750.00",ITRACONAZOLE 4'S CAPS,,"2,485.71",,   -     ,
IV GIVING SET,500,IV GIVING SET,,307.36,,"5,535.00",
IVYTUS SYRUP BOTTLE,"3,300.00",IVYTUS SYRUP BOTTLE,,   -     ,,   -     ,
JOINT SUPPORT TAB 30'S,550,JOINT SUPPORT TAB 30'S,,538.89,,210,
JUNIOR CARE SYRUP BOTTLE,"2,200.00",JUNIOR CARE SYRUP BOTTLE,,"1,899.16",,172,
KAMAGRA CT 100MG,"2,000.00",KAMAGRA CT 100MG,,"1,399.74",,21,
KETAMINE INJECTION,"8,900.00",KETAMINE INJECTION,,"6,904.33",,17,
KETOGESIC CAPS PACKET,"6,500.00",KETOGESIC CAPS PACKET,,   -     ,,   -     ,
KETOKONAZOLE CREAM TUBE 15G,"1,850.00",KETOKONAZOLE CREAM TUBE 15G,,932.93,,41,
KINHEAL CREAM,"2,450.00",KINHEAL CREAM,,"2,117.42",,345,
KNEE WRAP WITH LOOP ELASTIC TEC,"22,500.00",KNEE WRAP WITH LOOP ELASTIC TEC,,"15,500.00",,   -     ,
KOFLAME TABS  PACKET 10'S,"1,250.00",KOFLAME TABS  PACKET 10'S,,"1,100.00",,495,
KOFLYN SYRUP ADULT BOTTLE,"1,750.00",KOFLYN SYRUP ADULT BOTTLE,,"1,300.00",,585,
KOFLYN SYRUP CHILD BOTTLE,"1,750.00",KOFLYN SYRUP CHILD BOTTLE,,"1,207.12",,2,
KOFOL SYRUP,"1,850.00",KOFOL SYRUP,,949.04,,19,
KY GEL,"7,500.00",KY GEL,,"4,300.00",,67,
LACTOGEN 1 FORMULAR 400G,"25,000.00",LACTOGEN 1 FORMULAR 400G,,"18,000.00",,   -     ,
LACTULOSE 100ML BOTT,"3,800.00",LACTULOSE 100ML BOTT,,"3,500.00",,69,
LAEFIN TAB PACKET,850,LAEFIN TAB PACKET,,656.64,,"1,735.00",
LANSOPRAZOLE CAP 30's,"4,950.00",LANSOPRAZOLE CAP 30's,,"5,963.48",,296,
LEVAMISOLE SYRUP BOTTLE,"1,150.00",LEVAMISOLE SYRUP BOTTLE,,900.39,,"1,898.00",
LEVAMISOLE TAB 3s PACK,"4,450.00",LEVAMISOLE TAB 3s PACK,,"3,487.18",,40,
LEVOFLOXACIN TAB 10'S,"6,000.00",LEVOFLOXACIN TAB 10'S,,"4,240.57",,224,
LIGNOCAINE INJ.,"1,500.00",LIGNOCAINE INJ.,,548.34,,331,
LINCODERM CREAM TUBE,"1,900.00",LINCODERM CREAM TUBE,,"1,676.75",,   -     ,
LOPERAMIDE TAB,"7,400.00",LOPERAMIDE TAB,,"6,500.00",,-0.1,
LORATADINE SYRUP,"6,200.00",LORATADINE SYRUP,,"5,500.00",,   -     ,
LORATIDINE TAB 100'S,"7,800.00",LORATIDINE TAB 100'S,,"6,401.69",,51,
LOSARTAN-HYDROCHLOROTHIAZIDE TB,"3,500.00",LOSARTAN-HYDROCHLOROTHIAZIDE TB,,"2,259.09",,354,
LOSARTAN TAB 50MG,"2,950.00",LOSARTAN TAB 50MG,,"2,300.00",,196,
LUCIN CREAM TUBE,"1,400.00",LUCIN CREAM TUBE,,"1,000.00",,501,
LUCIN OINTMENT TUBE,"1,200.00",LUCIN OINTMENT TUBE,,"1,000.00",,240,
LUMERAX/LONART-DS 6TAB,"3,050.00",LUMERAX/LONART-DS 6TAB,,"2,650.00",,58,
M2 TONE TAB 60'S,"18,000.00",M2 TONE TAB 60'S,,"10,966.38",,36,
MAGNESIUM TAB BLISTER 100'S MAG,"1,650.00",MAGNESIUM TAB BLISTER 100'S MAG,,"1,450.00",,927,
MAJI MADOGO,400,MAJI MADOGO,,375,,   -     ,
MAJI MAKUBWA,800,MAJI MAKUBWA,,833.05,,   -     ,
MALAFIN 1PKT,790,MALAFIN 1PKT,,600.06,,"3,001.00",
MARAMOL TABS PACKET,"8,000.00",MARAMOL TABS PACKET,,   -     ,,   -     ,
MEBENDAZOLE 1TAB,"2,700.00",MEBENDAZOLE 1TAB,,"2,200.00",,65,
MEBENDAZOLE SYRUP BOTTLE,"1,050.00",MEBENDAZOLE SYRUP BOTTLE,,750.67,,"3,600.00",
MEBO OINTMENT TUBE,"16,000.00",MEBO OINTMENT TUBE,,"4,000.00",,   -     ,
MEDI-ORAL BOTTLE,"2,800.00",MEDI-ORAL BOTTLE,,"2,600.19",,130,
MEDIPLAST,"2,800.00",MEDIPLAST,,"2,498.93",,"4,167.00",
MEDIVEN CREAM TUBE,"1,350.00",MEDIVEN CREAM TUBE,,"1,015.40",,   -     ,
MEDIVEN OINTMENT TUBE,"1,350.00",MEDIVEN OINTMENT TUBE,,"1,001.87",,34,
MEFENAMIC ACID TAB PKT,"6,400.00",MEFENAMIC ACID TAB PKT,,"5,565.22",,11,
MELOXICAM TAB 15MG,"12,500.00",MELOXICAM TAB 15MG,,"8,047.10",,14,
MENTHO PLUS KUBWA,"1,700.00",MENTHO PLUS KUBWA,,   -     ,,   -     ,
MENTHO PLUS NDOGO,"1,400.00",MENTHO PLUS NDOGO,,   -     ,,   -     ,
MENTHODEX LOZENGES 6s PACKET,"3,650.00",MENTHODEX LOZENGES 6s PACKET,,"3,140.00",,   -     ,
MENTHODEX SYRUP 100MLS BOTTLE,"6,800.00",MENTHODEX SYRUP 100MLS BOTTLE,,"6,000.00",,241,
METFORMIN TAB PACKET,"3,300.00",METFORMIN TAB PACKET,,"2,500.00",,19,
METHYLATED SPIRIT 100ML,650,METHYLATED SPIRIT 100ML,,403.68,,454,
METHYLCELLULOSE EYE DROP,"4,900.00",METHYLCELLULOSE EYE DROP,,"3,600.00",,   -     ,
METHYLDOPA TAB PACKET,"12,500.00",METHYLDOPA TAB PACKET,,"9,500.00",,10,
METOCLOPOPAMIDE INJ,650,METOCLOPOPAMIDE INJ,,395,,"2,900.00",
METOCLOPOPAMIDE TAB,"11,000.00",METOCLOPOPAMIDE TAB,,"8,752.85",,3,
METOPROLOL TABS,"9,300.00",METOPROLOL TABS,,"8,500.00",,80,
METRO ORAL GEL (DENTA) TUBE,"3,350.00",METRO ORAL GEL (DENTA) TUBE,,"3,169.05",,132,
METRO SKIN GEL TUBE,"3,850.00",METRO SKIN GEL TUBE,,"3,500.00",,72,
METROGYL TAB COATED,"1,850.00",METROGYL TAB COATED,,"1,500.00",,"1,428.00",
METRONIDAZOLE INJ,950,METRONIDAZOLE INJ,,550,,614,
METRONIDAZOLE SYRUP 100ML BOTTL,"1,100.00",METRONIDAZOLE SYRUP 100ML BOTTL,,946.51,,"1,464.00",
METRONIDAZOLE TAB NOT COATED,"1,850.00",METRONIDAZOLE TAB NOT COATED,,"1,650.00",,   -     ,
MICONAZOLE CREAM OTHERSLOW PRIC,790,MICONAZOLE CREAM OTHERSLOW PRIC,,665,,392,
MICONAZOLE ORAL GEL TUBE,"2,400.00",MICONAZOLE ORAL GEL TUBE,,"2,000.00",,251,
MIFUPEN TAB  PACKET,"5,950.00",MIFUPEN TAB  PACKET,,"4,594.82",,25,
MISWAKI 550,550,MISWAKI 550,,417,,   -     ,
"MISWAKI YA 2,000/=","2,000.00","MISWAKI YA 2,000/=",,"1,100.00",,   -     ,
MISWAKI YA SH 500,250,MISWAKI YA SH 500,,183,,   -     ,
MONTELUKAST TAB 10MG,"12,000.00",MONTELUKAST TAB 10MG,,"7,500.00",,33,
MOSQUITOR REPELANT FAMILY 100ML,"1,550.00",MOSQUITOR REPELANT FAMILY 100ML,,"1,159.12",,   -     ,
MOSQUITOR REPELANT FAMILY 70ML,950,MOSQUITOR REPELANT FAMILY 70ML,,648.04,,   -     ,
MRDT KIT,"16,000.00",MRDT KIT,,"13,000.00",,   -     ,
MUCKINTOSH PER 1METRE,"4,000.00",MUCKINTOSH PER 1METRE,,"3,000.00",,206,
MUCOGEL SYRUP BOTTLE,"3,900.00",MUCOGEL SYRUP BOTTLE,,"3,080.00",,   -     ,
MUCOLYN SYRUP ADULT BOTTLE,"1,950.00",MUCOLYN SYRUP ADULT BOTTLE,,"1,631.92",,480,
MUCOLYN SYRUP CHILD BOTTLE,"1,950.00",MUCOLYN SYRUP CHILD BOTTLE,,"1,600.00",,459,
MULTIVITAMIN SYRUP 100ML BOTTLE,"1,450.00",MULTIVITAMIN SYRUP 100ML BOTTLE,,"1,200.00",,18,
MULTIVITAMIN TAB PKT,"9,500.00",MULTIVITAMIN TAB PKT,,"6,072.26",,134,
MUPIROCIN OINTMENT,"3,950.00",MUPIROCIN OINTMENT,,"2,637.19",,25,
MUSCLE PLUS TAB 20'S PKT,"3,000.00",MUSCLE PLUS TAB 20'S PKT,,"2,623.77",,191,
N.S NASAL SPRAY,"1,750.00",N.S NASAL SPRAY,,"1,401.14",,114,
NASAL GASTRIC FEEDING TUBE 10,800,NASAL GASTRIC FEEDING TUBE 10,,536.12,,   -     ,
NASAL GASTRIC FEEDING TUBE 16,"1,200.00",NASAL GASTRIC FEEDING TUBE 16,,850,,180,
NASAL GASTRIC FEEDING TUBE 18,800,NASAL GASTRIC FEEDING TUBE 18,,550,,   -     ,
NAT B TAB,"12,500.00",NAT B TAB,,"11,950.00",,6,
NATURAL TEARS DROP,"8,900.00",NATURAL TEARS DROP,,"8,500.00",,   -     ,
NAUMA GEL,"1,800.00",NAUMA GEL,,"1,401.12",,   -     ,
NEURO FORTE TABS,"6,950.00",NEURO FORTE TABS,,"6,224.11",,104,
NEURO SUPPORT TAB,450,NEURO SUPPORT TAB,,378.98,,"1,730.00",
NEUROBION FORTE 30'S TAB,"3,900.00",NEUROBION FORTE 30'S TAB,,"2,166.00",,43,
NEUROTON TAB,"13,500.00",NEUROTON TAB,,"10,500.00",,65,
NIFEDIPINE TAB,"3,900.00",NIFEDIPINE TAB,,"2,601.87",,28,
NITAZOXANIDE TABS 500MG,"6,800.00",NITAZOXANIDE TABS 500MG,,"4,624.46",,80,
NITROFURANTOIN TAB,"6,300.00",NITROFURANTOIN TAB,,"5,626.12",,   -     ,
NJOI TAB PACKET,600,NJOI TAB PACKET,,300,,"1,045.00",
NOR-T TAB 10'S,"1,950.00",NOR-T TAB 10'S,,"1,900.00",,949,
NORETHISTERONE TAB 30'S,"8,400.00",NORETHISTERONE TAB 30'S,,"6,300.00",,   -     ,
NORFLOXACIN TAB,"19,800.00",NORFLOXACIN TAB,,"17,000.00",,510,
NORMAL SALINE  (N.S) BOTTLE,"1,200.00",NORMAL SALINE  (N.S) BOTTLE,,942.13,,   -     ,
NORZOLE TAB BOX 10'S,"2,350.00",NORZOLE TAB BOX 10'S,,"1,400.00",,32,
NYLON SIZE 2,"2,400.00",NYLON SIZE 2,,"1,838.00",,12,
NYSTATIN PESSARIES,"1,650.00",NYSTATIN PESSARIES,,"1,400.00",,5,
NYSTATIN SUSPENSION ORAL BOTTLE,"1,600.00",NYSTATIN SUSPENSION ORAL BOTTLE,,"1,300.00",,204,
NYSTATIN TAB,"23,500.00",NYSTATIN TAB,,"17,000.00",,4,
OMEPRAZOLE CAP,"3,200.00",OMEPRAZOLE CAP,,"2,829.03",,133,
OMEPRAZOLE INJ,"3,450.00",OMEPRAZOLE INJ,,"3,000.00",,   -     ,
OPELELOTION BOTTLE,"3,100.00",OPELELOTION BOTTLE,,"2,669.15",,76,
ORACURE GEL,"5,500.00",ORACURE GEL,,"4,410.00",,7,
ORNIDAZOLE TABS 500MG,"47,400.00",ORNIDAZOLE TABS 500MG,,"36,134.92",,   -     ,
ORODAR TAB 3s PACKET,"2,000.00",ORODAR TAB 3s PACKET,,"1,700.00",,   -     ,
ORS SACHET,220,ORS SACHET,,180,,"11,082.00",
OSTEOMIN TABS 30's,"35,000.00",OSTEOMIN TABS 30's,,"18,907.69",,   -     ,
OXYTOCIN INJ,"1,300.00",OXYTOCIN INJ,,950,,234,
P.O.P 15CM,"1,600.00",P.O.P 15CM,,"1,108.54",,122,
P2 BRAND,"1,400.00",P2 BRAND,,"1,300.00",,300,
P2 TAB PACKET 1/P,"1,100.00",P2 TAB PACKET 1/P,,759.25,,"2,935.00",
P2 TABS 2/P,"1,400.00",P2 TABS 2/P,,"1,002.88",,"1,338.00",
PACIFY ORGANIC PADS,"3,000.00",PACIFY ORGANIC PADS,,"2,500.00",,48,
PAMBA STICK EAR 1000,750,PAMBA STICK EAR 1000,,500,,   -     ,
PAMBA STICK EAR 500,350,PAMBA STICK EAR 500,,375,,   -     ,
PAMPERS 0-6KG [14],"3,800.00",PAMPERS 0-6KG [14],,"3,373.82",,   -     ,
PAMPERS 0-6KG[48],"15,000.00",PAMPERS 0-6KG[48],,   -     ,,   -     ,
PAMPERS 6-9 [12],"3,800.00",PAMPERS 6-9 [12],,"2,840.91",,   -     ,
PAMPERS 6-9KG[42],"15,000.00",PAMPERS 6-9KG[42],,   -     ,,   -     ,
PAMPERS 9-15[40],"15,000.00",PAMPERS 9-15[40],,375,,   -     ,
PAMPERS 9-15KG[10],"3,800.00",PAMPERS 9-15KG[10],,"3,500.00",,   -     ,
PANADOL ADVANCE TAB,"8,900.00",PANADOL ADVANCE TAB,,"5,950.00",,133,
PANADOL EXTRA TAB,"11,000.00",PANADOL EXTRA TAB,,"9,600.00",,   -     ,
PANTOPRAZOLE INJ,"4,800.00",PANTOPRAZOLE INJ,,"2,400.00",,167,
PANTOPRAZOLE TAB 30'S,"4,400.00",PANTOPRAZOLE TAB 30'S,,"3,319.21",,202.4,
PARACETAMOL SUPPOSITORIES 10's,"6,900.00",PARACETAMOL SUPPOSITORIES 10's,,"5,000.00",,9,
PARACETAMOL SYRUP BOTTLE,"1,000.00",PARACETAMOL SYRUP BOTTLE,,840.58,,"9,153.00",
PARACETAMOL TABS PACKET,"1,450.00",PARACETAMOL TABS PACKET,,"1,082.84",,"2,846.00",
PARAFIN GAUZE,"1,000.00",PARAFIN GAUZE,,600,,460,
PEDZINC SYRUP BOTTLE,"2,100.00",PEDZINC SYRUP BOTTLE,,"1,359.17",,   -     ,
PEDZINC TAB PACKET,600,PEDZINC TAB PACKET,,498.89,,146,
PEN V SYRUP 100ML BOTTLE,"2,550.00",PEN V SYRUP 100ML BOTTLE,,"2,300.00",,   -     ,
PEN V TAB PACKET,"6,950.00",PEN V TAB PACKET,,"4,945.30",,76,
PERSOL 2.5 GEL TUBE,"3,350.00",PERSOL 2.5 GEL TUBE,,"3,000.84",,39,
PERSOL 5 GEL TUBE,"3,500.00",PERSOL 5 GEL TUBE,,"3,300.00",,66,
PERSOL FORTE TUBE,"4,150.00",PERSOL FORTE TUBE,,"3,619.53",,379,
PHAMACTIN SYRUP 100ML BOTTLE,"2,400.00",PHAMACTIN SYRUP 100ML BOTTLE,,"2,299.44",,54,
PHENOBABITONE INJECTION,"7,000.00",PHENOBABITONE INJECTION,,"3,460.36",,   -     ,
PHENOBARBITONE TAB 30MG PKT,"4,200.00",PHENOBARBITONE TAB 30MG PKT,,"3,000.00",,17,
PIRITON SYRUP BOTTLE,"1,250.00",PIRITON SYRUP BOTTLE,,"1,000.09",,291,
PIRITON TABS  PACKET,"1,550.00",PIRITON TABS  PACKET,,"1,200.00",,   -     ,
PIROXICAM CAP PACKET,"3,400.00",PIROXICAM CAP PACKET,,"2,700.00",,966,
PIROXICAM GEL B.P,"4,500.00",PIROXICAM GEL B.P,,"2,500.00",,   -     ,
PLASTER 1.25CM,700,PLASTER 1.25CM,,520,,202,
PLASTER 2.5 CM,"1,250.00",PLASTER 2.5 CM,,860,,11,
PLASTER 5 CM,"1,700.00",PLASTER 5 CM,,"1,342.35",,69,
PLASTER 7.5 CM,"2,050.00",PLASTER 7.5 CM,,"1,850.00",,149,
PODOPHYLLIN OINT.,"40,000.00",PODOPHYLLIN OINT.,,"32,000.00",,   -     ,
POTTASIUM PERMANGANATE 100MLS,800,POTTASIUM PERMANGANATE 100MLS,,510.74,,102,
POVIDONE IODINE 250MLS,"3,000.00",POVIDONE IODINE 250MLS,,509.2,,434,
PPF INJ,950,PPF INJ,,800,,17,
PRAZIQUANTEL TAB 600MG,"34,500.00",PRAZIQUANTEL TAB 600MG,,"30,406.55",,3.5,
PREDNISOLONE EYE DROP,"2,300.00",PREDNISOLONE EYE DROP,,"1,804.88",,   -     ,
PREDNISOLONE TAB PACKET,"2,400.00",PREDNISOLONE TAB PACKET,,"1,850.00",,"1,375.00",
PREGABALIN 75MG TAB,"4,400.00",PREGABALIN 75MG TAB,,"3,337.88",,94,
PRINALYN ADULT SYRUP,"1,200.00",PRINALYN ADULT SYRUP,,"1,000.00",,   -     ,
PRINALYN CHILD SYRUP,"1,200.00",PRINALYN CHILD SYRUP,,"1,000.00",,236,
PROMETHAZINE INJECTION,650,PROMETHAZINE INJECTION,,380,,   -     ,
PROMETHAZINE SYRUP BOTTLE,"2,000.00",PROMETHAZINE SYRUP BOTTLE,,"1,664.79",,   -     ,
PROMETHAZINE TABS,"3,200.00",PROMETHAZINE TABS,,"2,300.00",,35,
PROPRANOLOL TAB,"10,000.00",PROPRANOLOL TAB,,"9,880.00",,   -     ,
PROTEX SOAP 150G KUBWA,"2,350.00",PROTEX SOAP 150G KUBWA,,"2,222.00",,   -     ,
PROTEX SOAP 90G NDOGO,"1,750.00",PROTEX SOAP 90G NDOGO,,"1,440.00",,228,
PYRIDOXINE VITAMIN B6 60'S,"19,800.00",PYRIDOXINE VITAMIN B6 60'S,,"15,544.32",,14,
QUININE INJ 600MG,"1,650.00",QUININE INJ 600MG,,"1,000.00",,   -     ,
QUININE SYRUP 100ML BOTTLE,"1,850.00",QUININE SYRUP 100ML BOTTLE,,"1,517.49",,   -     ,
QUININE TAB,"12,500.00",QUININE TAB,,"9,298.71",,   -     ,
RABEPRAZOLE 30MG TABS,"1,850.00",RABEPRAZOLE 30MG TABS,,"2,000.00",,45,
RELCER GEL 100ML,"1,700.00",RELCER GEL 100ML,,"1,413.13",,268,
RELCER GEL 180ML,"3,550.00",RELCER GEL 180ML,,"3,113.12",,148,
REPACE - H 30's,"15,000.00",REPACE - H 30's,,"12,690.83",,49,
RINGER LACTATE (R.L),"1,200.00",RINGER LACTATE (R.L),,980,,49,
ROSUVASTATIN TABS 20MG,"12,500.00",ROSUVASTATIN TABS 20MG,,"9,000.00",,24,
ROUGH RIDER,"3,100.00",ROUGH RIDER,,"2,791.62",,   -     ,
SAFI CREAM TUBE,"2,950.00",SAFI CREAM TUBE,,"2,700.86",,1,
SALBUTAMOL INHALER,"3,990.00",SALBUTAMOL INHALER,,"3,500.00",,273,
SALBUTAMOL SYRUP BOTTLE,"1,100.00",SALBUTAMOL SYRUP BOTTLE,,800,,306,
SALBUTAMOL TAB  PACKET,"1,950.00",SALBUTAMOL TAB  PACKET,,"1,300.00",,189,
SALIMIA LINIMENT 60MLS,"2,900.00",SALIMIA LINIMENT 60MLS,,"2,485.00",,   -     ,
SCALP VEIN (BUTTERFLY),250,SCALP VEIN (BUTTERFLY),,150.16,,60,
SCOTT'S SYRUP ORANGE 100ML,"5,500.00",SCOTT'S SYRUP ORANGE 100ML,,"5,000.00",,6,
SCOTT'S SYRUP ORIGINAL 100ML,"5,500.00",SCOTT'S SYRUP ORIGINAL 100ML,,"5,000.00",,60,
SECNIDAZOLE TAB 2s PACKET,"1,100.00",SECNIDAZOLE TAB 2s PACKET,,800,,"1,518.00",
SEDITON SYRUP GREEN BOTTLE,"2,300.00",SEDITON SYRUP GREEN BOTTLE,,"2,100.00",,1,
SEDITON SYRUP YELLOW BOTTLE,"2,150.00",SEDITON SYRUP YELLOW BOTTLE,,"1,700.00",,   -     ,
SENSODYNE 100ML TUBE,"7,200.00",SENSODYNE 100ML TUBE,,"6,000.00",,   -     ,
SENSODYNE 40ML TUBE,"4,900.00",SENSODYNE 40ML TUBE,,"4,111.69",,   -     ,
SENSODYNE 75ML TUBE,"8,300.00",SENSODYNE 75ML TUBE,,"7,359.78",,   -     ,
SEPTRIN SYRUP 100ML BOTTLE,"1,000.00",SEPTRIN SYRUP 100ML BOTTLE,,880,,721,
SEPTRIN TAB KIJANI,"4,500.00",SEPTRIN TAB KIJANI,,"3,450.00",,1,
SEPTRIN TAB PKT,"3,250.00",SEPTRIN TAB PKT,,"2,665.67",,   -     ,
SILK,"1,500.00",SILK,,"1,248.05",,   -     ,
SILVER NITRIC PENCIL,"8,500.00",SILVER NITRIC PENCIL,,"7,150.00",,63,
SILVERKANT CREAM 15MG TUBE,"1,350.00",SILVERKANT CREAM 15MG TUBE,,"1,109.09",,   -     ,
SITCOM CREAM,"13,500.00",SITCOM CREAM,,"11,500.00",,3,
SITCOM TABS,"48,000.00",SITCOM TABS,,"36,069.99",,19,
SKDERM CREAM 15G  TUBE,"2,300.00",SKDERM CREAM 15G  TUBE,,"1,853.63",,324,
SKDERM CREAM 30G TUBE,"2,500.00",SKDERM CREAM 30G TUBE,,"2,115.91",,949,
SKTONE 100MLS BOTTLE,"2,100.00",SKTONE 100MLS BOTTLE,,"1,700.00",,7,
SKTONE 200ML BOTTLE,"3,600.00",SKTONE 200ML BOTTLE,,"3,100.00",,109,
SODIUM CROMOGLYCATE EYE DROP,"1,990.00",SODIUM CROMOGLYCATE EYE DROP,,"1,682.76",,159,
SOFT CARE NDOGO,"1,600.00",SOFT CARE NDOGO,,"1,500.00",,   -     ,
SOFTCARE PAD KUBWA,"1,600.00",SOFTCARE PAD KUBWA,,"1,500.00",,   -     ,
SONADERM CREAM 10G TUBE,"2,750.00",SONADERM CREAM 10G TUBE,,"2,398.25",,86,
SPIRIT 1 Lt,"3,600.00",SPIRIT 1 Lt,,"3,145.30",,23,
SPIRIT 500mls,"2,350.00",SPIRIT 500mls,,"2,000.00",,130,
SPIRIT 5LT,"23,000.00",SPIRIT 5LT,,"13,500.00",,14,
SPIRONOLACTONE TAB 25MG,"7,300.00",SPIRONOLACTONE TAB 25MG,,"5,808.37",,4,
SULPHADAR TABS 3s PKT,850,SULPHADAR TABS 3s PKT,,759.81,,"7,684.00",
SULPHUR OINTMENT TUBE,"1,150.00",SULPHUR OINTMENT TUBE,,853.56,,117,
SURGICAL BLADES 24G,"14,000.00",SURGICAL BLADES 24G,,"10,500.00",,3,
SYRINGE 10CC,170,SYRINGE 10CC,,140,,"49,249.00",
SYRINGE 20 cc,550,SYRINGE 20 cc,,465,,140,
SYRINGE 2CC,100,SYRINGE 2CC,,85,,80,
SYRINGE 50ML FEEDING,600,SYRINGE 50ML FEEDING,,490,,63,
SYRINGE 5CC,100,SYRINGE 5CC,,50,,"18,045.00",
TAMSULOSINE TAB,"11,900.00",TAMSULOSINE TAB,,"8,300.00",,233,
TASOL GM,"1,900.00",TASOL GM,,"3,672.13",,46,
